"","REF_DATE","GEO","Sex","Work.absence.statistics","VALUE"
"609",1987,"Ottawa-Gatineau, Ontario/Quebec","Males","Inactivity rate",0.4
"612",1987,"Ottawa-Gatineau, Ontario/Quebec","Males","Days",1.1
"615",1987,"Ottawa-Gatineau, Ontario/Quebec","Females","Incidence rate",3.9
"618",1987,"Ottawa-Gatineau, Ontario/Quebec","Females","Inactivity rate",2
"621",1987,"Ottawa-Gatineau, Ontario/Quebec","Females","Days",5.1
"633",1987,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Incidence rate",1.9
"636",1987,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Inactivity rate",0.5
"639",1987,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Days",1.1
"642",1987,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Incidence rate",3.6
"645",1987,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Inactivity rate",1.7
"648",1987,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Days",4.3
"660",1987,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Incidence rate",NA
"663",1987,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Inactivity rate",NA
"666",1987,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Days",NA
"669",1987,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Incidence rate",4.7
"672",1987,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Inactivity rate",3.1
"675",1987,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Days",7.7
"687",1987,"Kingston, Ontario","Males","Incidence rate",NA
"690",1987,"Kingston, Ontario","Males","Inactivity rate",NA
"693",1987,"Kingston, Ontario","Males","Days",NA
"696",1987,"Kingston, Ontario","Females","Incidence rate",NA
"699",1987,"Kingston, Ontario","Females","Inactivity rate",NA
"702",1987,"Kingston, Ontario","Females","Days",NA
"714",1987,"Oshawa, Ontario","Males","Incidence rate",NA
"717",1987,"Oshawa, Ontario","Males","Inactivity rate",NA
"720",1987,"Oshawa, Ontario","Males","Days",NA
"723",1987,"Oshawa, Ontario","Females","Incidence rate",NA
"726",1987,"Oshawa, Ontario","Females","Inactivity rate",NA
"729",1987,"Oshawa, Ontario","Females","Days",NA
"741",1987,"Toronto, Ontario","Males","Incidence rate",1.1
"744",1987,"Toronto, Ontario","Males","Inactivity rate",0.3
"747",1987,"Toronto, Ontario","Males","Days",0.9
"750",1987,"Toronto, Ontario","Females","Incidence rate",2.4
"753",1987,"Toronto, Ontario","Females","Inactivity rate",1.5
"756",1987,"Toronto, Ontario","Females","Days",3.8
"768",1987,"Hamilton, Ontario","Males","Incidence rate",1.1
"771",1987,"Hamilton, Ontario","Males","Inactivity rate",0.4
"774",1987,"Hamilton, Ontario","Males","Days",0.9
"777",1987,"Hamilton, Ontario","Females","Incidence rate",2.6
"780",1987,"Hamilton, Ontario","Females","Inactivity rate",1.6
"783",1987,"Hamilton, Ontario","Females","Days",4
"795",1987,"St. Catharines-Niagara, Ontario","Males","Incidence rate",NA
"798",1987,"St. Catharines-Niagara, Ontario","Males","Inactivity rate",NA
"801",1987,"St. Catharines-Niagara, Ontario","Males","Days",NA
"804",1987,"St. Catharines-Niagara, Ontario","Females","Incidence rate",NA
"807",1987,"St. Catharines-Niagara, Ontario","Females","Inactivity rate",NA
"810",1987,"St. Catharines-Niagara, Ontario","Females","Days",NA
"822",1987,"Kitchener-Cambridge-Waterloo, Ontario","Males","Incidence rate",NA
"825",1987,"Kitchener-Cambridge-Waterloo, Ontario","Males","Inactivity rate",NA
"828",1987,"Kitchener-Cambridge-Waterloo, Ontario","Males","Days",NA
"831",1987,"Kitchener-Cambridge-Waterloo, Ontario","Females","Incidence rate",NA
"834",1987,"Kitchener-Cambridge-Waterloo, Ontario","Females","Inactivity rate",NA
"837",1987,"Kitchener-Cambridge-Waterloo, Ontario","Females","Days",NA
"849",1987,"London, Ontario","Males","Incidence rate",NA
"852",1987,"London, Ontario","Males","Inactivity rate",NA
"855",1987,"London, Ontario","Males","Days",NA
"858",1987,"London, Ontario","Females","Incidence rate",2.8
"861",1987,"London, Ontario","Females","Inactivity rate",2.1
"864",1987,"London, Ontario","Females","Days",5.2
"876",1987,"Windsor, Ontario","Males","Incidence rate",NA
"879",1987,"Windsor, Ontario","Males","Inactivity rate",NA
"882",1987,"Windsor, Ontario","Males","Days",NA
"885",1987,"Windsor, Ontario","Females","Incidence rate",NA
"888",1987,"Windsor, Ontario","Females","Inactivity rate",NA
"891",1987,"Windsor, Ontario","Females","Days",NA
"903",1987,"Greater Sudbury, Ontario","Males","Incidence rate",NA
"906",1987,"Greater Sudbury, Ontario","Males","Inactivity rate",NA
"909",1987,"Greater Sudbury, Ontario","Males","Days",NA
"912",1987,"Greater Sudbury, Ontario","Females","Incidence rate",NA
"915",1987,"Greater Sudbury, Ontario","Females","Inactivity rate",NA
"918",1987,"Greater Sudbury, Ontario","Females","Days",NA
"930",1987,"Thunder Bay, Ontario","Males","Incidence rate",NA
"933",1987,"Thunder Bay, Ontario","Males","Inactivity rate",NA
"936",1987,"Thunder Bay, Ontario","Males","Days",NA
"939",1987,"Thunder Bay, Ontario","Females","Incidence rate",NA
"942",1987,"Thunder Bay, Ontario","Females","Inactivity rate",NA
"945",1987,"Thunder Bay, Ontario","Females","Days",NA
"957",1987,"Winnipeg, Manitoba","Males","Incidence rate",1.4
"960",1987,"Winnipeg, Manitoba","Males","Inactivity rate",0.4
"963",1987,"Winnipeg, Manitoba","Males","Days",1
"966",1987,"Winnipeg, Manitoba","Females","Incidence rate",3.2
"969",1987,"Winnipeg, Manitoba","Females","Inactivity rate",1.9
"972",1987,"Winnipeg, Manitoba","Females","Days",4.6
"984",1987,"Regina, Saskatchewan","Males","Incidence rate",NA
"987",1987,"Regina, Saskatchewan","Males","Inactivity rate",NA
"990",1987,"Regina, Saskatchewan","Males","Days",NA
"993",1987,"Regina, Saskatchewan","Females","Incidence rate",2.4
"996",1987,"Regina, Saskatchewan","Females","Inactivity rate",1.8
"999",1987,"Regina, Saskatchewan","Females","Days",4.6
"1011",1987,"Saskatoon, Saskatchewan","Males","Incidence rate",NA
"1014",1987,"Saskatoon, Saskatchewan","Males","Inactivity rate",NA
"1017",1987,"Saskatoon, Saskatchewan","Males","Days",NA
"1020",1987,"Saskatoon, Saskatchewan","Females","Incidence rate",2.7
"1023",1987,"Saskatoon, Saskatchewan","Females","Inactivity rate",2
"1026",1987,"Saskatoon, Saskatchewan","Females","Days",5
"1038",1987,"Calgary, Alberta","Males","Incidence rate",1.2
"1041",1987,"Calgary, Alberta","Males","Inactivity rate",0.3
"1044",1987,"Calgary, Alberta","Males","Days",0.8
"1047",1987,"Calgary, Alberta","Females","Incidence rate",2.5
"1050",1987,"Calgary, Alberta","Females","Inactivity rate",1.4
"1053",1987,"Calgary, Alberta","Females","Days",3.6
"1065",1987,"Edmonton, Alberta","Males","Incidence rate",1.1
"1068",1987,"Edmonton, Alberta","Males","Inactivity rate",0.4
"1071",1987,"Edmonton, Alberta","Males","Days",1
"1074",1987,"Edmonton, Alberta","Females","Incidence rate",2.7
"1077",1987,"Edmonton, Alberta","Females","Inactivity rate",1.5
"1080",1987,"Edmonton, Alberta","Females","Days",3.8
"1092",1987,"Abbotsford-Mission, British Columbia","Males","Incidence rate",NA
"1095",1987,"Abbotsford-Mission, British Columbia","Males","Inactivity rate",NA
"1098",1987,"Abbotsford-Mission, British Columbia","Males","Days",NA
"1101",1987,"Abbotsford-Mission, British Columbia","Females","Incidence rate",NA
"1104",1987,"Abbotsford-Mission, British Columbia","Females","Inactivity rate",NA
"1107",1987,"Abbotsford-Mission, British Columbia","Females","Days",NA
"1119",1987,"Vancouver, British Columbia","Males","Incidence rate",0.6
"1122",1987,"Vancouver, British Columbia","Males","Inactivity rate",0.2
"1125",1987,"Vancouver, British Columbia","Males","Days",0.5
"1128",1987,"Vancouver, British Columbia","Females","Incidence rate",1.7
"1131",1987,"Vancouver, British Columbia","Females","Inactivity rate",1.2
"1134",1987,"Vancouver, British Columbia","Females","Days",3
"1146",1987,"Victoria, British Columbia","Males","Incidence rate",NA
"1149",1987,"Victoria, British Columbia","Males","Inactivity rate",NA
"1152",1987,"Victoria, British Columbia","Males","Days",NA
"1155",1987,"Victoria, British Columbia","Females","Incidence rate",NA
"1158",1987,"Victoria, British Columbia","Females","Inactivity rate",NA
"1161",1987,"Victoria, British Columbia","Females","Days",NA
"1173",1987,"Non-census metropolitan areas","Males","Incidence rate",1.1
"1176",1987,"Non-census metropolitan areas","Males","Inactivity rate",0.3
"1179",1987,"Non-census metropolitan areas","Males","Days",0.8
"1182",1987,"Non-census metropolitan areas","Females","Incidence rate",2.8
"1185",1987,"Non-census metropolitan areas","Females","Inactivity rate",1.8
"1188",1987,"Non-census metropolitan areas","Females","Days",4.5
"1200",1987,"Population centres","Males","Incidence rate",1
"1203",1987,"Population centres","Males","Inactivity rate",0.3
"1206",1987,"Population centres","Males","Days",0.7
"1209",1987,"Population centres","Females","Incidence rate",2.5
"1212",1987,"Population centres","Females","Inactivity rate",1.7
"1215",1987,"Population centres","Females","Days",4.2
"1227",1988,"Canada","Males","Incidence rate",1.3
"1230",1988,"Canada","Males","Inactivity rate",0.4
"1233",1988,"Canada","Males","Days",0.9
"1236",1988,"Canada","Females","Incidence rate",3
"1239",1988,"Canada","Females","Inactivity rate",1.9
"1242",1988,"Canada","Females","Days",4.7
"1254",1988,"Atlantic region","Males","Incidence rate",1
"1257",1988,"Atlantic region","Males","Inactivity rate",0.3
"1260",1988,"Atlantic region","Males","Days",0.8
"1263",1988,"Atlantic region","Females","Incidence rate",2.4
"1266",1988,"Atlantic region","Females","Inactivity rate",1.5
"1269",1988,"Atlantic region","Females","Days",3.8
"1281",1988,"Newfoundland and Labrador","Males","Incidence rate",1
"1284",1988,"Newfoundland and Labrador","Males","Inactivity rate",0.3
"1287",1988,"Newfoundland and Labrador","Males","Days",0.7
"1290",1988,"Newfoundland and Labrador","Females","Incidence rate",2.1
"1293",1988,"Newfoundland and Labrador","Females","Inactivity rate",1.4
"1296",1988,"Newfoundland and Labrador","Females","Days",3.6
"1308",1988,"Prince Edward Island","Males","Incidence rate",NA
"1311",1988,"Prince Edward Island","Males","Inactivity rate",NA
"1314",1988,"Prince Edward Island","Males","Days",NA
"1317",1988,"Prince Edward Island","Females","Incidence rate",2.3
"1320",1988,"Prince Edward Island","Females","Inactivity rate",1.8
"1323",1988,"Prince Edward Island","Females","Days",4.4
"1335",1988,"Nova Scotia","Males","Incidence rate",1.1
"1338",1988,"Nova Scotia","Males","Inactivity rate",0.4
"1341",1988,"Nova Scotia","Males","Days",0.9
"1344",1988,"Nova Scotia","Females","Incidence rate",2.5
"1347",1988,"Nova Scotia","Females","Inactivity rate",1.6
"1350",1988,"Nova Scotia","Females","Days",3.9
"1362",1988,"New Brunswick","Males","Incidence rate",1.1
"1365",1988,"New Brunswick","Males","Inactivity rate",0.3
"1368",1988,"New Brunswick","Males","Days",0.7
"1371",1988,"New Brunswick","Females","Incidence rate",2.6
"1374",1988,"New Brunswick","Females","Inactivity rate",1.5
"1377",1988,"New Brunswick","Females","Days",3.7
"1389",1988,"Quebec","Males","Incidence rate",1.2
"1392",1988,"Quebec","Males","Inactivity rate",0.3
"1395",1988,"Quebec","Males","Days",0.7
"1398",1988,"Quebec","Females","Incidence rate",3.5
"1401",1988,"Quebec","Females","Inactivity rate",2.3
"1404",1988,"Quebec","Females","Days",5.9
"1416",1988,"Ontario","Males","Incidence rate",1.4
"1419",1988,"Ontario","Males","Inactivity rate",0.4
"1422",1988,"Ontario","Males","Days",0.9
"1425",1988,"Ontario","Females","Incidence rate",3.1
"1428",1988,"Ontario","Females","Inactivity rate",1.9
"1431",1988,"Ontario","Females","Days",4.7
"1443",1988,"Prairie region","Males","Incidence rate",1.5
"1446",1988,"Prairie region","Males","Inactivity rate",0.5
"1449",1988,"Prairie region","Males","Days",1.1
"1452",1988,"Prairie region","Females","Incidence rate",3.3
"1455",1988,"Prairie region","Females","Inactivity rate",1.9
"1458",1988,"Prairie region","Females","Days",4.7
"1470",1988,"Manitoba","Males","Incidence rate",1.8
"1473",1988,"Manitoba","Males","Inactivity rate",0.5
"1476",1988,"Manitoba","Males","Days",1.2
"1479",1988,"Manitoba","Females","Incidence rate",3.6
"1482",1988,"Manitoba","Females","Inactivity rate",1.9
"1485",1988,"Manitoba","Females","Days",4.7
"1497",1988,"Saskatchewan","Males","Incidence rate",1.2
"1500",1988,"Saskatchewan","Males","Inactivity rate",0.3
"1503",1988,"Saskatchewan","Males","Days",0.9
"1506",1988,"Saskatchewan","Females","Incidence rate",3
"1509",1988,"Saskatchewan","Females","Inactivity rate",1.9
"1512",1988,"Saskatchewan","Females","Days",4.7
"1524",1988,"Alberta","Males","Incidence rate",1.5
"1527",1988,"Alberta","Males","Inactivity rate",0.5
"1530",1988,"Alberta","Males","Days",1.2
"1533",1988,"Alberta","Females","Incidence rate",3.3
"1536",1988,"Alberta","Females","Inactivity rate",1.9
"1539",1988,"Alberta","Females","Days",4.7
"1551",1988,"British Columbia","Males","Incidence rate",1
"1554",1988,"British Columbia","Males","Inactivity rate",0.3
"1557",1988,"British Columbia","Males","Days",0.8
"1560",1988,"British Columbia","Females","Incidence rate",1.9
"1563",1988,"British Columbia","Females","Inactivity rate",1.2
"1566",1988,"British Columbia","Females","Days",3.1
"1578",1988,"Total census metropolitan areas","Males","Incidence rate",1.3
"1581",1988,"Total census metropolitan areas","Males","Inactivity rate",0.4
"1584",1988,"Total census metropolitan areas","Males","Days",0.9
"1587",1988,"Total census metropolitan areas","Females","Incidence rate",3.1
"1590",1988,"Total census metropolitan areas","Females","Inactivity rate",2
"1593",1988,"Total census metropolitan areas","Females","Days",4.9
"1605",1988,"St. John's, Newfoundland and Labrador","Males","Incidence rate",NA
"1608",1988,"St. John's, Newfoundland and Labrador","Males","Inactivity rate",NA
"1611",1988,"St. John's, Newfoundland and Labrador","Males","Days",NA
"1614",1988,"St. John's, Newfoundland and Labrador","Females","Incidence rate",2.4
"1617",1988,"St. John's, Newfoundland and Labrador","Females","Inactivity rate",1.8
"1620",1988,"St. John's, Newfoundland and Labrador","Females","Days",4.4
"1632",1988,"Halifax, Nova Scotia","Males","Incidence rate",1.2
"1635",1988,"Halifax, Nova Scotia","Males","Inactivity rate",0.4
"1638",1988,"Halifax, Nova Scotia","Males","Days",1
"1641",1988,"Halifax, Nova Scotia","Females","Incidence rate",2.7
"1644",1988,"Halifax, Nova Scotia","Females","Inactivity rate",1.6
"1647",1988,"Halifax, Nova Scotia","Females","Days",4
"1659",1988,"Saint John, New Brunswick","Males","Incidence rate",NA
"1662",1988,"Saint John, New Brunswick","Males","Inactivity rate",NA
"1665",1988,"Saint John, New Brunswick","Males","Days",NA
"1668",1988,"Saint John, New Brunswick","Females","Incidence rate",NA
"1671",1988,"Saint John, New Brunswick","Females","Inactivity rate",NA
"1674",1988,"Saint John, New Brunswick","Females","Days",NA
"1686",1988,"Saguenay, Quebec","Males","Incidence rate",NA
"1689",1988,"Saguenay, Quebec","Males","Inactivity rate",NA
"1692",1988,"Saguenay, Quebec","Males","Days",NA
"1695",1988,"Saguenay, Quebec","Females","Incidence rate",NA
"1698",1988,"Saguenay, Quebec","Females","Inactivity rate",NA
"1701",1988,"Saguenay, Quebec","Females","Days",NA
"1713",1988,"Québec, Quebec","Males","Incidence rate",1.3
"1716",1988,"Québec, Quebec","Males","Inactivity rate",0.3
"1719",1988,"Québec, Quebec","Males","Days",0.9
"1722",1988,"Québec, Quebec","Females","Incidence rate",4.1
"1725",1988,"Québec, Quebec","Females","Inactivity rate",2.8
"1728",1988,"Québec, Quebec","Females","Days",6.9
"1740",1988,"Sherbrooke, Quebec","Males","Incidence rate",NA
"1743",1988,"Sherbrooke, Quebec","Males","Inactivity rate",NA
"1746",1988,"Sherbrooke, Quebec","Males","Days",NA
"1749",1988,"Sherbrooke, Quebec","Females","Incidence rate",NA
"1752",1988,"Sherbrooke, Quebec","Females","Inactivity rate",NA
"1755",1988,"Sherbrooke, Quebec","Females","Days",NA
"1767",1988,"Trois-Rivières, Quebec","Males","Incidence rate",NA
"1770",1988,"Trois-Rivières, Quebec","Males","Inactivity rate",NA
"1773",1988,"Trois-Rivières, Quebec","Males","Days",NA
"1776",1988,"Trois-Rivières, Quebec","Females","Incidence rate",NA
"1779",1988,"Trois-Rivières, Quebec","Females","Inactivity rate",NA
"1782",1988,"Trois-Rivières, Quebec","Females","Days",NA
"1794",1988,"Montréal, Quebec","Males","Incidence rate",1.2
"1797",1988,"Montréal, Quebec","Males","Inactivity rate",0.3
"1800",1988,"Montréal, Quebec","Males","Days",0.7
"1803",1988,"Montréal, Quebec","Females","Incidence rate",3.5
"1806",1988,"Montréal, Quebec","Females","Inactivity rate",2.4
"1809",1988,"Montréal, Quebec","Females","Days",6
"1821",1988,"Ottawa-Gatineau, Ontario/Quebec","Males","Incidence rate",2.4
"1824",1988,"Ottawa-Gatineau, Ontario/Quebec","Males","Inactivity rate",0.5
"1827",1988,"Ottawa-Gatineau, Ontario/Quebec","Males","Days",1.3
"1830",1988,"Ottawa-Gatineau, Ontario/Quebec","Females","Incidence rate",4
"1833",1988,"Ottawa-Gatineau, Ontario/Quebec","Females","Inactivity rate",2
"1836",1988,"Ottawa-Gatineau, Ontario/Quebec","Females","Days",5
"1848",1988,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Incidence rate",2.7
"1851",1988,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Inactivity rate",0.5
"1854",1988,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Days",1.3
"1857",1988,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Incidence rate",4.1
"1860",1988,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Inactivity rate",1.9
"1863",1988,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Days",4.8
"1875",1988,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Incidence rate",NA
"1878",1988,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Inactivity rate",NA
"1881",1988,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Days",NA
"1884",1988,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Incidence rate",NA
"1887",1988,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Inactivity rate",NA
"1890",1988,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Days",NA
"1902",1988,"Kingston, Ontario","Males","Incidence rate",NA
"1905",1988,"Kingston, Ontario","Males","Inactivity rate",NA
"1908",1988,"Kingston, Ontario","Males","Days",NA
"1911",1988,"Kingston, Ontario","Females","Incidence rate",NA
"1914",1988,"Kingston, Ontario","Females","Inactivity rate",NA
"1917",1988,"Kingston, Ontario","Females","Days",NA
"1929",1988,"Oshawa, Ontario","Males","Incidence rate",NA
"1932",1988,"Oshawa, Ontario","Males","Inactivity rate",NA
"1935",1988,"Oshawa, Ontario","Males","Days",NA
"1938",1988,"Oshawa, Ontario","Females","Incidence rate",NA
"1941",1988,"Oshawa, Ontario","Females","Inactivity rate",NA
"1944",1988,"Oshawa, Ontario","Females","Days",NA
"1956",1988,"Toronto, Ontario","Males","Incidence rate",1.1
"1959",1988,"Toronto, Ontario","Males","Inactivity rate",0.4
"1962",1988,"Toronto, Ontario","Males","Days",0.9
"1965",1988,"Toronto, Ontario","Females","Incidence rate",3.1
"1968",1988,"Toronto, Ontario","Females","Inactivity rate",2.1
"1971",1988,"Toronto, Ontario","Females","Days",5.1
"1983",1988,"Hamilton, Ontario","Males","Incidence rate",1.4
"1986",1988,"Hamilton, Ontario","Males","Inactivity rate",0.3
"1989",1988,"Hamilton, Ontario","Males","Days",0.8
"1992",1988,"Hamilton, Ontario","Females","Incidence rate",2.1
"1995",1988,"Hamilton, Ontario","Females","Inactivity rate",1.5
"1998",1988,"Hamilton, Ontario","Females","Days",3.7
