Product code	Product label	Turkey's exports to Israel-Value in 2001	Turkey's exports to Israel-Value in 2002	Turkey's exports to Israel-Value in 2003	Turkey's exports to Israel-Value in 2004	Turkey's exports to Israel-Value in 2005	Turkey's exports to Israel-Value in 2006	Turkey's exports to Israel-Value in 2007	Turkey's exports to Israel-Value in 2008	Turkey's exports to Israel-Value in 2009	Turkey's exports to Israel-Value in 2010	Turkey's exports to Israel-Value in 2011	Turkey's exports to Israel-Value in 2012	Turkey's exports to Israel-Value in 2013	Turkey's exports to Israel-Value in 2014	Turkey's exports to Israel-Value in 2015	Turkey's exports to Israel-Value in 2016	Turkey's exports to Israel-Value in 2017	Israel's imports from world- 	Israel's imports from world-Value in 2001	Israel's imports from world-Value in 2002	Israel's imports from world-Value in 2003	Israel's imports from world-Value in 2004	Israel's imports from world-Value in 2005	Israel's imports from world-Value in 2006	Israel's imports from world-Value in 2007	Israel's imports from world-Value in 2008	Israel's imports from world-Value in 2009	Israel's imports from world-Value in 2010	Israel's imports from world-Value in 2011	Israel's imports from world-Value in 2012	Israel's imports from world-Value in 2013	Israel's imports from world-Value in 2014	Israel's imports from world-Value in 2015	Israel's imports from world-Value in 2016	Israel's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
79	"Zinc and articles thereof"	16	23	66	145	227	50	185	235	307	338	56	11	20	62	124	42	581		18273	16057	15831	17456	22038	39885	50967	30010	15762	26464	26241	22725	21456	24841	18225	18787	22612		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	580	596	814	675	728	328	743	1123	490	511	777	460	353	433	302	409	630		4794	4352	3384	5858	4464	4851	6393	4185	5856	5880	4513	6490	4873	6246	6675	3566	6772		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	110	32	0	40	23	4	0	0	0	0	0	0	0	267	72	982	813		35778	35941	32872	38839	43888	43959	54582	81521	71530	66655	85343	109558	157795	104459	80190	97415	134345		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
10	"Cereals"	6616	912	2126	135	6145	3858	290	367	4434	18236	655	14587	14998	3237	2011	2216	1129		365542	381568	419225	587716	449015	513424	710768	974152	698891	792984	1053697	1098432	1042166	1067539	807413	766394	838305		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
30	"Pharmaceutical products"	1492	437	1285	1307	938	594	654	1292	1085	940	809	2730	1219	1197	1545	1067	1139		617207	662832	729197	861418	842409	967425	1048854	1289046	1358215	1409513	1594851	1616933	1809870	1898996	1915673	2006524	2196510		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
41	"Raw hides and skins (other than furskins) and leather"	748	710	1083	1536	2051	2717	2801	2367	1517	1267	1050	1023	1734	1942	2002	1703	1541		18369	16221	13334	16082	17920	19306	26610	27229	19686	23587	25885	24712	28241	23827	22299	18657	20300		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
89	"Ships, boats and floating structures"	80766	180	278	37	166	67	11	180	161	1306	54	924	134	1103	979	6828	1556		8107	7369	63847	6060	98625	124959	69224	76109	20492	156398	20083	346788	415612	55972	86004	87708	217934		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
88	"Aircraft, spacecraft, and parts thereof"	1	0	1017	55	129	207	2742	4124	2191	4370	800	877	2456	3885	1499	1955	2018		947426	592955	281671	253534	398043	418308	983548	653502	646170	537137	554918	569381	595955	838205	505317	761330	758420		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
31	"Fertilisers"	0	4	0	0	0	26	1702	0	0	29	65	473	57	2	52	2	2047		18103	30862	31624	40342	32649	35712	52543	69801	40336	46170	59084	67397	67464	69466	59942	56468	77432		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
35	"Albuminoidal substances; modified starches; glues; enzymes"	317	281	507	516	917	1175	694	631	672	959	934	1018	1545	2172	2227	2202	2082		52246	60150	63251	72939	83437	87319	85974	93385	83058	98426	111374	107987	111213	115610	113780	109489	116680		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
09	"Coffee, tea, maté and spices"	856	829	910	905	795	693	1131	1248	1271	1050	1080	1057	1613	1761	1964	1493	2101		48054	41249	44193	0	58542	63118	79859	107544	86839	109812	143660	153822	155843	133087	146756	145375	160548		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
95	"Toys, games and sports requisites; parts and accessories thereof"	1357	1298	812	523	621	650	661	1096	876	914	1024	1564	1668	2087	1661	1650	2119		111532	99691	96052	107280	119902	121833	151150	177945	171235	185752	200846	209801	239675	270775	280947	295374	345179		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
26	"Ores, slag and ash"	150	0	51	36	20	31	3	0	177	134	189	1327	1414	4648	4006	4836	2240		2256	680	928	2720	2086	5160	3645	5350	2564	4608	9223	12123	9742	7851	8340	10135	8701		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
23	"Residues and waste from the food industries; prepared animal fodder"	504	387	761	166	0	305	290	1849	1960	406	489	80	56	993	1177	2239	2290		71021	66554	72429	127895	126358	116971	168102	243666	170657	259418	305034	369566	364733	441182	368716	348235	408051		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
99	"Commodities not elsewhere specified"	84	40	1258	9992	4402	16027	3160	1463	8612	10154	17771	4606	1861	2308	5854	6523	2299		109706	125198	117495	156931	147667	127813	148030	168283	160496	166137	229948	301683	281119	296214	363017	456190	545699		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	95	23	1391	3334	1762	822	2110	503	7759	7302	6216	8011	11519	20730	13226	1020	2655		25544	24235	25295	0	36603	38057	62774	73237	46598	72329	86034	72475	78150	104862	106689	107269	120995		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	573	567	736	580	519	859	696	723	800	891	1279	1384	1315	1850	1399	2590	3290		110862	97540	99338	116226	129845	153387	187327	196643	142773	187022	222950	213353	214823	231941	214496	212155	224932		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	774	656	598	1105	1001	1476	1017	2138	2129	1659	3096	1831	1845	2208	1934	2932	3585		180095	206674	222230	280737	249603	237365	302050	331116	280428	369937	400519	403354	416896	429998	373184	344770	349607		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	1332	1187	1413	1650	1574	929	962	1139	651	955	1005	1103	1225	1760	1810	2363	3595		58492	54664	51310	60541	73428	76538	97345	112146	95282	116276	137791	143145	152631	167073	168471	172290	197852		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
55	"Man-made staple fibres"	11059	7387	8403	7997	7852	10304	5628	5886	3889	3151	4796	5855	6568	5330	4391	4562	3758		108652	106615	111421	125819	148315	167982	200422	223485	184437	235714	261632	232504	247755	249149	205534	177821	206157		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	2365	1884	3883	7498	11702	12815	9491	8562	6834	6442	5511	4209	5075	4520	4412	4269	4212		37347	37689	47353	58428	62637	65034	72279	85084	57896	69916	72001	63194	70742	71431	61423	62202	70036		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	5214	6007	6112	6825	6858	5583	4906	5966	3409	4423	4452	4756	6600	7678	6186	6313	5515		29418	31658	31610	34564	34502	38098	26606	23538	18344	20708	22830	21873	22543	25661	23635	26651	26946		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
52	"Cotton"	13918	10040	11181	12257	10064	9481	9252	5002	4712	4797	11150	8154	8209	6104	6056	5114	5659		132261	141557	141518	156511	137237	137415	118522	110977	80088	113716	106306	89986	76017	79123	62098	51072	44698		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
29	"Organic chemicals"	922	1275	3049	1299	2869	3250	3396	4222	2657	3480	7800	5145	4452	4310	4074	3877	6084		649889	756983	852760	1054449	1143932	1431439	1533594	1928244	1311845	1655154	1911382	2032971	1834378	1818510	1613758	1338778	1538616		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	728	901	971	1565	1696	3403	4623	17514	25056	9514	3553	3631	6016	5517	5759	6587	8020		1193084	1153170	1114041	1485131	1471251	1663260	1709446	1735454	1432691	1644505	1994719	1915311	1996958	2011047	2046084	2191622	2489256		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
83	"Miscellaneous articles of base metal"	2200	2253	3755	4234	4109	4423	3886	3877	5537	5965	7995	8080	10333	9718	9381	9861	10118		100459	99457	96865	112817	118663	134790	167559	196397	164515	191859	221942	230011	244115	259995	248086	267198	298117		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	5295	4563	5699	6924	6440	7168	7808	9095	7385	8793	11294	11990	8380	14669	12670	13719	10226		151622	140941	146807	213473	232716	258748	319948	432817	255482	354587	378929	429938	390000	386260	333015	284057	323566		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
44	"Wood and articles of wood; wood charcoal"	3143	5521	6483	4093	2590	3802	2897	1975	1635	1771	3210	10295	8514	7115	5199	7077	10856		265056	269613	293560	327358	347842	369800	508984	510526	416305	521961	570298	531053	615374	632156	572513	580121	634047		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	13696	14882	50827	85698	160793	122876	26067	19435	23501	34941	52949	13053	35377	16533	15284	14713	11720		3169234	3118466	3759095	4695998	6759457	7452418	8928119	12842427	8066287	10441279	13636073	16079260	14552969	12758144	7390611	5807844	7604677		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	3968	4865	6424	7439	6334	5349	6373	5795	6001	6731	7232	9057	11488	12228	12488	12415	11739		169285	167742	177424	213881	218843	233844	279454	290562	245966	295557	343514	315820	336505	329325	308983	313814	364102		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
21	"Miscellaneous edible preparations"	2022	1904	1925	2207	2901	3208	3809	5072	7048	8186	9012	9237	8010	11050	11360	13987	12891		178698	182562	174274	202469	213110	223246	251054	311209	287792	309903	332989	289164	312433	362548	336996	335589	387844		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	114	253	40	22	49	151	89	564	92	70	93	499	850	1899	7483	11816	13692		100938	91236	102860	0	113663	112629	128171	156016	150310	229259	294246	267096	286272	368662	355744	402988	487145		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	6197	9546	10909	16748	5774	11664	12532	21824	15674	6914	20901	12632	15921	27419	25784	15065	13793		43544	42823	50247	41641	40236	44858	60411	90160	64077	82168	140548	72355	70078	73028	61475	58747	63454		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	11863	6804	8699	6312	3624	7755	10066	11590	19897	23304	27591	29369	28367	15663	15532	12828	15816		59106	57851	71125	64620	73679	79956	104295	141363	137366	142992	185826	205342	212719	188422	149157	158667	191634		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
54	"Man-made filaments; strip and the like of man-made textile materials"	9380	8992	12782	13868	14156	9766	13549	14701	11373	14465	15737	15644	18432	16805	15381	15440	16035		127044	116942	129247	158654	160043	112788	141524	161240	151517	133053	119472	110945	92168	94253	95513	94367	96006		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
38	"Miscellaneous chemical products"	1983	3052	3065	3758	3846	6819	10067	13815	13225	16834	20819	16382	15335	19867	21242	20136	16339		483370	425253	450262	469155	445691	456218	533408	599702	582112	684290	921232	1185914	802455	823224	842703	759064	820923		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
17	"Sugars and sugar confectionery"	4245	3351	4903	5010	6203	7787	9783	6254	6449	8356	9973	11842	16975	18359	17529	17714	16462		168546	156843	158689	163823	175041	252201	258918	293632	292302	294915	387960	358806	309493	293041	246397	276847	254471		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	6025	4612	5296	5851	7366	6381	8987	11404	7249	13938	9991	13594	10770	12986	13393	15465	16539		87234	107334	105922	291808	131985	132901	178999	215177	157981	194113	253402	211175	212853	216374	224514	256419	288287		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	379	1712	2238	3416	3981	5832	6234	6581	6568	10347	13895	11394	15431	13403	13064	16049	17867		178154	179061	198902	226861	239241	254962	311631	371180	343195	387771	442452	420699	454568	470422	435412	478252	530327		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
64	"Footwear, gaiters and the like; parts of such articles"	9171	9432	10931	7555	9402	7991	8221	9307	5716	5975	6839	6327	8705	11516	12989	16742	18974		196472	184499	191862	208681	234131	256124	294885	342617	317543	381119	427694	437477	479554	530403	492829	516804	540377		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
22	"Beverages, spirits and vinegar"	530	437	542	608	935	1661	2272	2343	1706	2298	3460	5142	10215	15281	16642	16857	19384		70783	74664	78885	96426	103947	119702	143064	182210	175963	192897	198110	182922	221359	252252	273570	298764	350528		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
40	"Rubber and articles thereof"	6943	8183	12187	12065	13495	12467	13975	16140	12959	14628	17123	16533	16670	14344	14759	18960	19418		186430	180081	209542	271249	265203	277697	355349	412200	328776	419010	521084	516404	514452	475277	449129	459558	512524		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
