Product code	Product label	Turkey's exports to United States of America-Value in 2001	Turkey's exports to United States of America-Value in 2002	Turkey's exports to United States of America-Value in 2003	Turkey's exports to United States of America-Value in 2004	Turkey's exports to United States of America-Value in 2005	Turkey's exports to United States of America-Value in 2006	Turkey's exports to United States of America-Value in 2007	Turkey's exports to United States of America-Value in 2008	Turkey's exports to United States of America-Value in 2009	Turkey's exports to United States of America-Value in 2010	Turkey's exports to United States of America-Value in 2011	Turkey's exports to United States of America-Value in 2012	Turkey's exports to United States of America-Value in 2013	Turkey's exports to United States of America-Value in 2014	Turkey's exports to United States of America-Value in 2015	Turkey's exports to United States of America-Value in 2016	Turkey's exports to United States of America-Value in 2017	United States of America's imports from world- 	United States of America's imports from world-Value in 2001	United States of America's imports from world-Value in 2002	United States of America's imports from world-Value in 2003	United States of America's imports from world-Value in 2004	United States of America's imports from world-Value in 2005	United States of America's imports from world-Value in 2006	United States of America's imports from world-Value in 2007	United States of America's imports from world-Value in 2008	United States of America's imports from world-Value in 2009	United States of America's imports from world-Value in 2010	United States of America's imports from world-Value in 2011	United States of America's imports from world-Value in 2012	United States of America's imports from world-Value in 2013	United States of America's imports from world-Value in 2014	United States of America's imports from world-Value in 2015	United States of America's imports from world-Value in 2016	United States of America's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	420	5626	4149	1903	1825	1557	2882	2942	3402	2497	2851	3797	8590	9461	18836	7896	11594		1123042	1301873	1455414	1593115	1700986	1728355	1830928	1963960	1701902	1772100	2036952	2174446	2300439	2603318	2820284	2529830	2603909		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
10	"Cereals"	68	51	57	97	162	157	224	234	210	253	289	4347	933	12356	7607	4531	11729		883700	935581	846159	882543	858557	1253785	1808140	2957378	2187166	1989199	2318505	3320471	4361816	3458935	2800410	2315101	2471051		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
64	"Footwear, gaiters and the like; parts of such articles"	384	732	1582	3354	2338	2418	2430	2865	1473	2173	3837	3118	2879	3969	7445	8142	11933		15233718	16160285	16411264	17403647	18906893	20199991	20404470	20502445	18245270	21928568	23651479	24863320	25776428	27044539	28725316	28085600	26625911		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
43	"Furskins and artificial fur; manufactures thereof"	11718	13579	17275	16288	16535	16869	13556	8677	5581	5687	7063	6590	6131	7986	9514	10326	12041		363754	341255	384338	453034	427726	401132	355290	311817	247801	312555	369556	378303	435769	504900	455726	322239	293831		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
18	"Cocoa and cocoa preparations"	1164	1724	1999	3122	2601	2988	1822	929	1322	1820	1698	3189	3830	5225	7420	10959	12089		1540155	1839310	2532767	2604088	2906187	2803720	2786092	3433912	3592364	4415589	4806674	4216249	4279325	4851677	4983867	5002253	5140813		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	972	1634	5982	5154	5884	7688	7028	7232	7604	7536	6965	8219	8205	8133	7894	8328	12985		2944761	3366524	4757381	5985712	6871287	7161178	7691684	8270993	7229899	8242518	9140577	9755253	10774901	11546996	12083750	12423458	13569643		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
99	"Commodities not elsewhere specified"	1019	2363	1338	2927	9386	6238	12932	15684	14692	13477	42656	11095	34693	6998	23465	23893	13570		48542426	49180575	47904165	50069776	55217814	59013960	61218527	64319181	55301867	56113571	60460054	66834557	70889599	74105015	85044504	87258494	91287736		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	34823	24558	25618	27259	36115	37005	23642	21197	11712	10661	10499	15640	19176	17949	13143	18653	16664		7114079	7565704	8022114	8846944	9381208	10145022	10711610	10786934	8556312	10524278	11721894	12730972	13412700	13871141	14448716	13730252	13499930		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	34803	35793	24457	16242	17783	19111	13209	11212	7101	10055	10987	9911	11512	13799	17435	17354	18525		542760	630534	668197	760061	870807	861886	842228	772608	581890	682580	748913	777538	779242	801232	815171	774129	765033		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
23	"Residues and waste from the food industries; prepared animal fodder"	0	2	4	5	0	0	1	0	85	0	0	188	434	1592	2052	4734	21385		593915	686601	724909	886246	795066	922933	1091238	1362032	1302037	1498316	2090978	2669831	2902499	3123666	2983484	2915195	2939966		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	2327	3092	5213	4671	5285	4715	4287	3317	3817	5211	5153	8171	23821	6986	6309	14655	24396		15001702	15465224	16037482	17953430	18963477	19985566	19348959	19447867	15563130	16539108	17051646	15994575	16317941	16969186	16676532	16448007	16418754		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
09	"Coffee, tea, maté and spices"	17218	15063	14702	10741	11226	10974	18567	15760	13318	15928	17458	17510	25699	24262	22093	28784	24401		2159527	2338765	2752648	3016871	3640837	4044779	4620504	5369072	4887596	5942352	9384949	8352471	7186051	7881468	8176661	7978268	8664234		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	4599	6607	7298	7712	8010	8788	10683	12184	14768	15591	15583	15997	16870	16412	17724	21546	24568		1922014	2350742	2683233	2938763	3240377	3544659	3908596	4227793	4149527	4622234	5113064	5380812	5664325	5888333	6292327	6882598	7364152		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
74	"Copper and articles thereof"	17298	20110	27059	60724	60442	97866	107382	101595	46638	59105	86581	131160	129517	116536	41393	32297	26417		4689715	4261030	3929134	5710087	8149813	14396823	13242155	11832500	6406773	8943270	11550838	10335313	10729669	9706143	8407231	7623203	10103501		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
07	"Edible vegetables and certain roots and tubers"	10263	9990	10115	13055	18035	22271	28183	33389	26424	26331	27972	29259	29558	24862	29511	28658	29582		2961114	3490307	3995368	4480596	4734629	5264333	5731027	6099354	5832223	6992850	7780993	7950329	8768945	8953995	9283669	9782213	10296459		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	2040	2230	946	1433	1424	1069	3765	4732	5313	7029	4295	7001	10594	18327	22578	24501	34169		7861793	8417553	9230497	9313817	9922896	10852428	11362504	11510223	10639903	11827209	13351400	13349819	14689190	16689405	15498426	16516911	17904674		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
52	"Cotton"	62534	69368	49654	58347	51061	43106	51074	46133	27160	33936	44451	44681	42596	37244	33717	33872	35403		1810092	2070458	1911748	2020086	1745384	1609752	1400135	1219407	861944	1135111	1305703	1188653	1147148	1126269	1103973	968281	940582		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
83	"Miscellaneous articles of base metal"	7561	8698	10695	11311	10982	9151	7538	6776	5513	5941	6337	7167	8912	22122	35266	33920	36102		4603693	5318984	5683563	6765713	7804289	8660160	9205697	8552504	6581301	8244955	9121224	9848332	10425061	10820839	11556843	11681299	12135134		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	8800	4957	9835	8062	9858	14020	14984	19537	22804	25902	20600	21364	22086	39404	28493	21731	37301		34846409	35310256	39367222	45253338	47650939	51346296	54743106	58263423	50803943	59793862	67081200	69799847	72111007	76226166	78504727	81720438	86175175		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
70	"Glass and glassware"	24495	26371	27582	30014	31149	34462	38241	33822	26596	30662	31776	37809	38801	46765	42870	42688	44023		4153961	4526107	4816219	5458343	5687869	6131551	6241729	5970370	4641642	5737945	6106290	6377071	6613678	7446792	7878609	7913395	7938715		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
