Product code	Product label	Turkey's imports from Israel-Value in 2001	Turkey's imports from Israel-Value in 2002	Turkey's imports from Israel-Value in 2003	Turkey's imports from Israel-Value in 2004	Turkey's imports from Israel-Value in 2005	Turkey's imports from Israel-Value in 2006	Turkey's imports from Israel-Value in 2007	Turkey's imports from Israel-Value in 2008	Turkey's imports from Israel-Value in 2009	Turkey's imports from Israel-Value in 2010	Turkey's imports from Israel-Value in 2011	Turkey's imports from Israel-Value in 2012	Turkey's imports from Israel-Value in 2013	Turkey's imports from Israel-Value in 2014	Turkey's imports from Israel-Value in 2015	Turkey's imports from Israel-Value in 2016	Turkey's imports from Israel-Value in 2017	Israel's exports to world- 	Israel's exports to world-Value in 2001	Israel's exports to world-Value in 2002	Israel's exports to world-Value in 2003	Israel's exports to world-Value in 2004	Israel's exports to world-Value in 2005	Israel's exports to world-Value in 2006	Israel's exports to world-Value in 2007	Israel's exports to world-Value in 2008	Israel's exports to world-Value in 2009	Israel's exports to world-Value in 2010	Israel's exports to world-Value in 2011	Israel's exports to world-Value in 2012	Israel's exports to world-Value in 2013	Israel's exports to world-Value in 2014	Israel's exports to world-Value in 2015	Israel's exports to world-Value in 2016	Israel's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		997	650	627	446	506	829	930	1522	706	561	623	275	525	150	86	46	70		2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
8425	"Pulley tackle and hoists (other than skip hoists); winches and capstans; jacks"	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	3	0		2974	256	317	1465	575	577	3866	8330	4795	1640	2677	417	1622	1195	23191	2954	1116		6551	7879	11880	17766	31839	38098	44136	63958	36044	41767	54972	61361	72428	82565	72268	75476	73670	
8440	"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ..."	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		137	97	707	84	6	90	294	22	231	20	8524	256	184	154	73	65	146		5729	8826	14745	24078	28206	60756	54297	18362	9756	28359	34843	16899	17338	12614	12961	11515	9037	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	3	102	3	1830	125	15	0	136	75	41	813	0	1302	34	1035	873		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
8457	"Machining centres, unit construction machines "single station" and multi-station transfer machines ..."	0	0	0	31	25	0	34	530	0	0	0	0	0	5	0	0	0		812	1091	1242	4379	3076	862	701	9615	265	222	1089	307	1691	35226	13082	6212	9481		38335	80144	86611	130933	181625	176648	213231	212256	66239	138248	231656	263682	254217	272875	268031	265425	258399	
8530	"Electrical signalling, safety or traffic control equipment for railways, tramways, roads, inland ..."	0	0	0	26	0	0	0	0	4	0	0	0	9	0	222	0	0		2942	1968	680	171	619	5061	1643	7459	2686	11500	22884	13184	9113	10055	5571	1988	2127		23938	27251	6780	8283	20240	19970	26318	41944	59008	46851	85920	39150	91158	62751	50480	38317	58466	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	127	0	1	0	0	0	0	0	0	0	0	0	0	0		0	8	15	164	51	5	0	108	139	230	150	129	108	89	156	20	93		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
6903	"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ..."	0	16	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0		1824	2769	3572	1350	7448	4602	964	2179	903	3134	883	2538	2665	336	179	26	41		17619	22228	26329	30167	30355	36886	52584	47839	36889	50308	58033	57021	56850	63567	49801	45872	58888	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	7	17	49	82	61	388	532	487	406	238	101	89	198	19	19	5		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0		440	373	360	400	2760	1460	477	776	820	607	795	708	612	541	463	410	395		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0		0	0	0	0	0	0	1	27	64	0	2	175	0	1	0	0	0		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	7	0	23	0	0	0	5	2	2	3	0	0	28	4	19	0		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		175	61	1326	513	22	678	442	416	549	2789	1565	897	442	670	131	93	1261		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7211	"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ..."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		80	4	0	3	0	303	1285	1314	725	986	2149	517	763	1881	986	157	101		28344	46289	88047	119209	139195	142037	171599	280403	155090	230148	256706	251008	167331	69246	53891	50631	64050	
7222	"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s."	0	1	13	26	13	1	0	230	0	0	0	0	0	0	0	0	0		85	200	59	144	39	166	399	1389	372	355	819	39	108	291	772	116	192		12438	17125	26948	36839	52372	54266	90170	90497	56401	70403	106926	100748	97566	115389	108049	87295	97222	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	880	32	0	126	1	469	0	3	0	0	83	27	12	0		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
7302	"Railway or tramway track construction material of iron or steel, the following : rails, check-rails ..."	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0		206	989	2813	1027	314	212	174	536	288	40	109	288	341	305	122	107	226		4882	5838	15433	22721	39753	27483	47878	103737	84501	112720	92468	79346	69222	36795	31374	53630	54681	
7304	"Tubes, pipes and hollow profiles, seamless, of iron or steel (excluding products of cast iron)"	0	5	182	108	101	92	187	312	66	60	78	48	127	132	87	26	0		763	263	77	1226	1364	2213	1847	4714	11032	2396	2213	3820	5439	8207	9241	2621	2123		46981	81879	72892	119306	179636	222652	291380	322776	221232	304630	391034	370016	411851	390915	305519	255302	290593	
7317	"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ..."	0	0	0	1	11	0	0	0	0	0	0	0	0	21	10	0	0		18	15	23	26	46	93	21	19	42	27	5	9	30	2	19	9	25		1120	1752	2709	4416	3882	3803	10891	9416	5151	6204	9165	9217	10210	11441	10876	9933	11061	
7319	"Sewing needles, knitting needles, bodkins, crochet hoods, embroidery stilettos and similar ..."	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		87	62	50	138	67	144	107	15	113	154	116	99	124	44	34	110	55		1051	1137	1350	1417	1897	2010	2330	3039	1944	2631	2341	2575	2640	2302	2202	1954	2438	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	0	0	0	0	0	0	4	0	0	0	35	25	0	0		12632	13547	14704	14623	12109	17290	17416	17478	13538	10126	11997	3	5	1	7	52	41		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	283	2138	6516	10788	1279	617	73	141	0	6	22	147	539	2	0	86		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7507	"Tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves", of nickel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	22	11	19	9	33	199	2	0	11	0	532	8	23	215	212	9		875	848	861	1100	891	1113	1666	1651	808	933	1702	786	722	1479	4389	1514	1615	
7608	"Aluminium tubes and pipes (excluding hollow profiles)"	5	0	0	7	1	0	0	5	0	0	0	0	0	0	0	2	0		10698	11467	156	64	1258	6381	1734	2508	7236	7303	9495	7222	7596	8782	10735	15786	15639		5864	9670	13393	12262	9691	8070	17449	31330	18572	34638	53252	43479	41767	40540	35079	35928	41158	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0		0	0	47	0	0	55	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		92	151	73	139	142	394	737	277	867	4256	6155	6258	1961	568	163	317	908		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8206	"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale"	0	1	0	2	1	0	13	61	0	2	11	2	0	0	0	0	0		960	1105	1100	992	1214	591	912	1213	611	1936	2143	466	463	436	211	176	212		2386	2216	1715	1821	2058	1570	2451	4263	1525	2951	6063	4949	13506	9189	6527	4974	5958	
8213	"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ..."	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0		7	9	12	12	22	17	0	13	20	6	11	10	52	148	78	31	16		2419	3072	4520	5584	5360	5504	5739	7211	5447	6976	8521	7776	9842	9197	8356	6397	7137	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	1319	1709	1814	835	1947	406	449	170	0	0	0	0	0	0	0	0	0		3938	3824	4131	0	3292	660	968	952	622	555	420	409	153	102	114	87	85		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	4	4	154	0	0	0	0	0	0	0	0	0		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0		0	233	210	0	38	42	0	34	153	74	87	0	0	43	0	0	45		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	2	1	2	3	2	1	0	328	129	248		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	12	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0		3	3	12	0	6	0	4	90	49	778	1071	130	464	587	221	224	370		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	10	4	25	40	45	30	0	1	20	16	4	0	21	0		6370	9327	8049	0	10314	12095	30009	29042	21908	25233	20308	9822	9496	9619	8421	8781	8565		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4475	3826	4005	0	10043	22628	31419	55081	65327	73507	96071	88114	107838	100536	96519	80904	64997		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	2	8	4389	7046	5958	5610	3185	2268	1538	1148	1407	368		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0901	"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ..."	23	5	0	3	4	6	15	0	0	28	0	0	0	0	0	0	0		3532	1947	798	0	1134	1108	332	716	1456	1632	1656	1047	2503	3393	6534	5752	4602		13337	13146	13426	18289	22973	26496	43370	46091	44183	58920	82673	96580	96501	109170	146799	130503	191808	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	4	6	4	46	130	1	20	124	95	82		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1108	"Starches; inulin"	0	0	94	206	155	0	0	0	0	0	0	0	0	0	0	0	0		526	773	956	855	652	854	563	2093	1447	2049	2302	3137	2460	1822	1234	3560	1043		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		256	270	316	468	413	299	849	977	597	444	260	539	416	873	845	616	784		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		392	556	693	589	623	654	885	629	245	411	299	874	123	238	194	178	311		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2101	"Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of ..."	21	48	46	0	262	642	138	255	220	136	99	293	347	0	42	0	0		503	644	869	404	35	92	70	14375	10983	10928	15146	16712	15337	1599	861	570	824		23802	25888	31406	42199	52338	66435	69428	88247	64886	69825	99473	87355	96353	102872	113232	120811	140731	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	51	3487	6445	2823	1455	943	98	365	1102		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		82	5	0	0	0	4	0	10	133	5	0	480	3477	1	6	2134	13580		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	1	0	0	29	28	0	0	1	1		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2808	"Nitric acid; sulphonitric acids"	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	6	0	0	0	0	25	1	0	0	0	4	0	0	354	526		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2823	"Titanium oxides"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	0	0	25	45	175	863	315	175	286	2	1	0	17	1	2	98		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	214	0	0	7	40	27	0	0	10	0	0	6	0	0	0	0		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	0	58	0	2	0	0	14	8	0	0	0	0	0	0	0	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2925	"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds"	44	84	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0		15	16632	45428	34283	444	667	163	1021	1420	1362	1421	458	193	441	2829	583	669		6017	9508	14912	17313	12113	9976	11153	13493	11296	12518	16902	29926	42603	39683	23779	21763	22377	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	2	24	0	0	0	92	0	106	15	71	0	308	0	0	0		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
2931	"Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ..."	0	0	0	0	0	0	0	0	0	0	8	114	99	188	0	0	0		11073	11829	12705	12192	13468	16031	49590	28285	1141	4320	1478	682	243	110	36	53	1151		25909	20619	26033	19568	19182	19862	24586	43433	31750	39966	48371	44431	51621	69048	50210	44149	64134	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	0	49	0	0	0	16	832	15	6	0	38	0	16	0	406	29		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3811	"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive ..."	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	6	0		2	101	38	25	4	176	575	324	116	1820	2593	1424	1270	825	1564	2881	1284		39344	50916	61167	80303	86603	121968	135085	163383	148316	170550	187941	188169	201946	207334	187461	176928	203741	
3813	"Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ..."	216	235	295	382	538	349	547	540	290	256	46	339	424	309	358	182	0		1730	1981	2537	4147	4631	5455	6442	7637	6076	5120	5273	5136	5704	7888	4732	3786	1196		1546	1731	1590	3276	3756	4834	4455	5138	4325	3378	5390	6980	6744	6989	6256	6008	4735	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5319	2928	2783	243	2211	7544	11955	22362	23903	23183	19034	5233	4231	14401	110852	81539	20009		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		62	138	148	453	481	695	923	507	9	2	2	0	21	0	12	1	8		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	14	0	45	690	98	2024		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
3905	"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers, ..."	0	52	11	0	1	8	61	6	0	0	31	1	0	0	0	1	0		6648	3	7	140	69	0	23	28863	5863	406	327	380	999	412	226	398	211		16222	22361	28643	41719	48792	57345	69767	78639	60899	76153	98431	95777	99461	103121	99522	106076	111302	
