Product code	Product label	Turkey's imports from Czech Republic-Value in 2001	Turkey's imports from Czech Republic-Value in 2002	Turkey's imports from Czech Republic-Value in 2003	Turkey's imports from Czech Republic-Value in 2004	Turkey's imports from Czech Republic-Value in 2005	Turkey's imports from Czech Republic-Value in 2006	Turkey's imports from Czech Republic-Value in 2007	Turkey's imports from Czech Republic-Value in 2008	Turkey's imports from Czech Republic-Value in 2009	Turkey's imports from Czech Republic-Value in 2010	Turkey's imports from Czech Republic-Value in 2011	Turkey's imports from Czech Republic-Value in 2012	Turkey's imports from Czech Republic-Value in 2013	Turkey's imports from Czech Republic-Value in 2014	Turkey's imports from Czech Republic-Value in 2015	Turkey's imports from Czech Republic-Value in 2016	Turkey's imports from Czech Republic-Value in 2017	Czech Republic's exports to world- 	Czech Republic's exports to world-Value in 2001	Czech Republic's exports to world-Value in 2002	Czech Republic's exports to world-Value in 2003	Czech Republic's exports to world-Value in 2004	Czech Republic's exports to world-Value in 2005	Czech Republic's exports to world-Value in 2006	Czech Republic's exports to world-Value in 2007	Czech Republic's exports to world-Value in 2008	Czech Republic's exports to world-Value in 2009	Czech Republic's exports to world-Value in 2010	Czech Republic's exports to world-Value in 2011	Czech Republic's exports to world-Value in 2012	Czech Republic's exports to world-Value in 2013	Czech Republic's exports to world-Value in 2014	Czech Republic's exports to world-Value in 2015	Czech Republic's exports to world-Value in 2016	Czech Republic's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	34	81	96	11	0	313	34	108	0	117	51	43	0	0	0		407	398	397	503	270	291	353	715	546	620	378	589	478	561	380	486	405		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		146	253	266	464	494	332	722	812	435	242	626	426	869	572	232	269	272		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		228	173	353	726	3252	4681	6517	9171	9065	9511	12429	10414	10434	9359	9976	10298	10011		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		36	54	65	800	2358	2961	3901	5899	3554	6742	4571	4461	5101	4546	4038	3590	3662		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0901	"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10490	9575	12761	14058	29703	43958	57940	60515	63795	80204	97357	124592	119200	230881	457575	294585	169567		13337	13146	13426	18289	22973	26496	43370	46091	44183	58920	82673	96580	96501	109170	146799	130503	191808	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	4	10	10	16	23	41	54	40	37	57	75	74	147	90	83	81		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17	74	68	17	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1515	"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		353	475	734	731	1146	855	938	2460	1943	753	587	1487	4023	3162	3117	4193	5743		40630	65725	75264	75171	95586	93726	107832	150775	80218	68277	69777	53437	57063	36601	41644	60217	46003	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		15062	14161	14149	22336	27397	45806	65626	65747	45644	13390	9124	9768	6708	6574	4079	3514	5909		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
1108	"Starches; inulin"	0	0	0	0	0	0	0	0	103	1	18	18	5	8	25	35	0		2442	2340	1696	2760	2802	4825	6610	5601	4623	7082	9907	8274	8185	10275	7432	8515	13616		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		141	99	77	195	325	294	252	356	202	322	403	312	485	1219	1064	945	1002		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	37	0	0	0	0	0	0	9	0	0	0	0		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		37	0	66	506	152	311	629	404	434	627	1101	1602	2575	1578	672	188	780		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		51674	40245	42412	48210	58482	74851	66806	115441	95815	84542	100872	111529	110879	79498	68650	64983	70658		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17680	34674	25682	25625	46738	64080	72533	87169	469908	777427	781072	852828	717052	850887	1494390	527356	203233		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10800	87065	21505	29282	40432	41503	49405	77895	109155	136296	182604	197318	208475	186757	77193	50662	105915		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2823	"Titanium oxides"	403	227	173	142	65	68	109	199	116	349	280	361	158	289	0	0	0		52	72	133	405	64	468	32	1087	3871	1532	3858	2960	3187	4135	5455	7539	6419		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		126	43	45	101	148	206	238	206	99	249	223	128	159	279	138	77	227		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16	0	0	16	0	0	5	6	0	6	0	19	0	0	0	0	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0		194	290	81	361	41	245	648	942	1011	914	1276	2475	2192	1177	1215	1000	1546		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
2103	"Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, ..."	0	9	0	0	0	0	0	6	7	90	0	0	0	0	0	0	0		11563	19860	27126	33130	43147	53829	81331	137386	137394	60260	66400	65293	68951	69653	60327	59762	65053		3821	6418	9398	11016	10657	10557	11912	15057	13727	16947	19478	22163	22894	29864	29382	32233	38672	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		700	1578	1229	383	254	118	164	54	17	39	2	6	24	23	33	34	39		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0		428	56	1	3	5	7	3	0	1	0	0	0	41	0	0	1	0		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3811	"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive ..."	0	36	18	18	0	0	0	1	0	0	0	0	16	6	10	2	0		543	1049	1155	2819	1629	1602	2030	1747	1365	3020	3651	5107	5694	6429	5073	5616	6482		39344	50916	61167	80303	86603	121968	135085	163383	148316	170550	187941	188169	201946	207334	187461	176928	203741	
3813	"Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		189	382	250	523	294	268	104	216	271	227	266	66	1020	741	452	731	672		1546	1731	1590	3276	3756	4834	4455	5138	4325	3378	5390	6980	6744	6989	6256	6008	4735	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0		10370	12277	8094	10206	19199	31125	34136	38575	28428	35629	30151	29783	34468	43973	40594	43267	49491		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		43	11	54	44	140	89	95	67	56	67	71	61	117	28	52	70	171		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	27557	65889	59472	70057	69690	56996		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
3905	"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		728	638	663	872	1087	1223	1274	1499	1338	632	914	759	939	1688	1115	1343	1518		16222	22361	28643	41719	48792	57345	69767	78639	60899	76153	98431	95777	99461	103121	99522	106076	111302	
4102	"Raw skins of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		162	53	34	3	10	16	7	1	34	1	365	186	79	1	5	56	6		248462	402786	371161	338861	234875	274104	242480	179840	89215	167722	311596	334036	317107	184291	61800	32532	56845	
4104	"Tanned or crust hides and skins of bovine "incl. buffalo" or equine animals, without hair on, ..."	0	0	0	0	0	0	0	0	0	13	248	78	0	0	0	0	0		13288	8450	10396	9996	5509	9058	11998	19156	21681	34047	53983	43288	35383	23832	24036	15740	12934		53042	6811	6898	7669	6240	13350	37074	40087	17495	36647	64639	48104	64550	54836	37916	36535	31017	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1910	1415	1362	1165	1090	991	902	939	898	454	1328	982	1058	325	1057	1035	1000		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		430	244	207	717	845	2655	3637	6539	4361	3558	4559	4222	3887	5498	5119	7732	6702		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		460	384	722	257	2240	3576	3250	2148	3050	1854	2368	2944	3405	2062	3370	3132	2733		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4822	"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ..."	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0		5504	8748	5834	6466	5653	6525	7150	8033	6180	6839	10080	9948	11005	11692	8742	7976	8377		969	1151	767	529	1099	1832	2693	4682	4396	6736	4817	2654	3189	3141	2967	1919	2700	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1340	1389	1994	1762	2524	5233	10703	6328	5622	10345	6172	5629	5091	3964	10258	6066	2506		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	103	8	0	0	0	0	0	0	0	0	0		1	0	3	0	0	22	15	89	89	211	173	207	250	237	123	123	69		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	23	68	39	0	85	84	36	47	0	0	0	0		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	0	0	48	0	0	0	789	0	0	0	0	0	0	0	0	0	0		2025	1126	4068	4459	2621	3693	3538	2682	1670	192	1704	535	819	1229	944	451	173		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	73	173	203	412	496	1638	612	62	3	54	293	1820	2281	1353	0	2		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	0	0	0	3	9	3	0	0	0	0	0	0	0	0	0	0	0		7328	6988	5523	2067	2683	4906	2938	1737	2498	3131	3852	2681	2309	1014	413	597	665		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9	3	3	18	63	19	24	19	16	12	7	3	3	5	4	5	5		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5807	"Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to ..."	5	3	4	18	9	0	0	0	1	2	1	11	3	3	3	2	0		4049	3720	4035	4075	3272	1711	2446	2314	1612	1235	1540	10999	2221	1493	1193	1272	1433		9638	13595	15108	17735	17076	19177	23884	21423	18781	19653	20219	19674	19434	21772	18594	19907	18598	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		79	12	14	6	6	6	6	21	8	0	815	31	32	43	16	25	27		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
0101	"Live horses, asses, mules and hinnies"	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	3	0		1298	1010	994	463	1071	963	699	847	383	391	433	663	345	433	158	4391	1298		12912	6605	1512	1351	1568	4265	7684	8554	5190	14660	4235	2674	8628	4506	3010	1770	1618	
