Product code	Product label	Turkey's imports from Malaysia-Value in 2001	Turkey's imports from Malaysia-Value in 2002	Turkey's imports from Malaysia-Value in 2003	Turkey's imports from Malaysia-Value in 2004	Turkey's imports from Malaysia-Value in 2005	Turkey's imports from Malaysia-Value in 2006	Turkey's imports from Malaysia-Value in 2007	Turkey's imports from Malaysia-Value in 2008	Turkey's imports from Malaysia-Value in 2009	Turkey's imports from Malaysia-Value in 2010	Turkey's imports from Malaysia-Value in 2011	Turkey's imports from Malaysia-Value in 2012	Turkey's imports from Malaysia-Value in 2013	Turkey's imports from Malaysia-Value in 2014	Turkey's imports from Malaysia-Value in 2015	Turkey's imports from Malaysia-Value in 2016	Turkey's imports from Malaysia-Value in 2017	Malaysia's exports to world- 	Malaysia's exports to world-Value in 2001	Malaysia's exports to world-Value in 2002	Malaysia's exports to world-Value in 2003	Malaysia's exports to world-Value in 2004	Malaysia's exports to world-Value in 2005	Malaysia's exports to world-Value in 2006	Malaysia's exports to world-Value in 2007	Malaysia's exports to world-Value in 2008	Malaysia's exports to world-Value in 2009	Malaysia's exports to world-Value in 2010	Malaysia's exports to world-Value in 2011	Malaysia's exports to world-Value in 2012	Malaysia's exports to world-Value in 2013	Malaysia's exports to world-Value in 2014	Malaysia's exports to world-Value in 2015	Malaysia's exports to world-Value in 2016	Malaysia's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	1	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0		1159	2540	3312	6848	10924	3203	3016	138447	101265	149929	133558	16106	20374	19249	9784	2470	318		2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
9011	"Optical microscopes, incl. those for photomicrography, cinephotomicrography or microprojection ..."	0	0	0	0	0	0	2	0	0	1	0	4	8	21	2	3	0		4332	4320	3050	7356	8809	12597	6104	4913	3343	4903	3877	43133	33980	3582	5377	3955	6086		6628	5188	9175	12426	16869	15666	21751	21492	16813	18238	21248	21739	21858	27858	22108	20620	20763	
6903	"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ..."	0	27	57	9	53	75	53	2	16	0	0	0	0	0	0	8	0		801	437	705	400	482	701	933	914	771	1564	1079	1319	2063	2235	1975	1769	3808		17619	22228	26329	30167	30355	36886	52584	47839	36889	50308	58033	57021	56850	63567	49801	45872	58888	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2515	2019	2390	2357	2662	2480	3777	6521	4099	4123	6592	6512	5983	6851	6875	6349	5940		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		313	649	839	973	1406	1663	2435	950	3937	2056	1498	5989	1043	1807	4029	1005	1402		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7018	"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ..."	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0		1082	226	251	97	551	656	618	1057	188	253	239	962	7061	6089	7775	6777	5879		6758	9002	12657	22218	30723	32538	38714	38746	30108	36242	35736	34420	39158	36852	25306	25814	24782	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		39	45	0	26	5	10	0	0	0	522	769	10	94	12	0	0	0		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		750	406	877	26917	4226	9158	5783	6498	3733	13813	768	488	786	268	7	249	115		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		37	909	1545	340	328	15	16	570	77	556	5980	30647	9058	8832	2271	2032	2516		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0		37861	73037	61009	188948	218910	22662	293179	120044	214197	341051	427399	289217	150698	115070	122417	159100	139252		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		44289	54483	77664	95753	20165	58926	95191	150410	94381	215357	289714	354014	185556	249298	66221	115378	159863		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7209	"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled "cold-reduced", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6261	11580	26201	13085	26205	21219	47175	25660	26564	34635	67402	49233	67828	94470	53921	39531	34588		95041	168187	271406	579741	511156	616180	629852	721087	401099	502307	568766	491248	499944	494521	365284	354293	539824	
7211	"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1695	1716	1852	6043	10168	6279	7379	4256	2294	3460	13706	4270	1471	6591	9213	8653	11524		28344	46289	88047	119209	139195	142037	171599	280403	155090	230148	256706	251008	167331	69246	53891	50631	64050	
7222	"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4703	4755	7214	10947	15957	22309	44427	77413	27652	28696	28160	27470	22908	19851	25804	27325	29858		12438	17125	26948	36839	52372	54266	90170	90497	56401	70403	106926	100748	97566	115389	108049	87295	97222	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		199	1026	1350	88	96	66	26	149	95	731	28596	36380	12943	2644	2222	6425	12339		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
7304	"Tubes, pipes and hollow profiles, seamless, of iron or steel (excluding products of cast iron)"	0	0	0	0	0	10	0	13	0	16	0	0	35	1	0	48	0		18655	53949	31737	33175	60426	187372	77944	111183	146825	120997	125303	251605	176285	150062	131558	66282	47846		46981	81879	72892	119306	179636	222652	291380	322776	221232	304630	391034	370016	411851	390915	305519	255302	290593	
7317	"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ..."	0	2	0	1	2	2	29	1	0	9	0	0	0	0	0	0	0		7423	6914	7347	11034	15923	15975	19597	27316	20170	22684	32485	51153	48995	47898	42515	46068	45209		1120	1752	2709	4416	3882	3803	10891	9416	5151	6204	9165	9217	10210	11441	10876	9933	11061	
7319	"Sewing needles, knitting needles, bodkins, crochet hoods, embroidery stilettos and similar ..."	0	0	0	0	2	1	2	1	0	1	2	3	4	4	2	2	0		9046	7225	13539	16165	20654	25606	21392	34100	28191	37037	43058	30568	14593	12207	13873	13256	13499		1051	1137	1350	1417	1897	2010	2330	3039	1944	2631	2341	2575	2640	2302	2202	1954	2438	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		184	214	46	0	187	3	0	0	0	0	3	4	0	0	0	8650	357		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7507	"Tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves", of nickel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5043	290	66	411	4	80	177	366	160	252	337	1275	1765	7220	1496	1022	741		875	848	861	1100	891	1113	1666	1651	808	933	1702	786	722	1479	4389	1514	1615	
7608	"Aluminium tubes and pipes (excluding hollow profiles)"	0	0	0	0	0	0	5	12	2	0	0	0	7	0	0	0	0		5726	7692	11280	12833	17357	16525	19731	29230	27031	35656	44113	29925	55523	42657	22851	15486	16437		5864	9670	13393	12262	9691	8070	17449	31330	18572	34638	53252	43479	41767	40540	35079	35928	41158	
7612	"Casks, drums, cans, boxes and similar containers, incl. rigid or collapsible tubular containers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7329	7686	10844	15143	17758	9848	16019	15567	19038	19441	26947	31568	36487	45936	44151	30763	38805		2359	4412	5125	7743	8824	11586	13844	20289	19728	35787	41085	42413	53937	54713	51604	45347	33526	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4007	899	428	1177	896	3	13	88	86	112	278	2	4	0	166	215	685		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11184	208	956	736	214	1191	1527	312	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
8206	"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale"	0	0	0	0	2	0	4	0	0	0	0	0	0	28	0	0	0		156	1650	2413	5614	4294	2578	5933	6608	1010	1481	1652	1188	1171	832	1039	1807	777		2386	2216	1715	1821	2058	1570	2451	4263	1525	2951	6063	4949	13506	9189	6527	4974	5958	
8423	"Weighing machinery, incl. weight-operated counting or checking machines (excluding balances ..."	0	0	0	1	2	7	2	2	0	2	0	0	1	0	1	0	0		1153	1233	987	2687	5802	6708	48954	26373	34506	25878	13966	6985	8961	14610	6824	4656	4852		9624	14545	14712	24806	27754	39886	42365	40901	24746	33865	43157	39068	42304	42565	37764	33145	29060	
8425	"Pulley tackle and hoists (other than skip hoists); winches and capstans; jacks"	0	5	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0		2150	5744	4565	3989	7097	11071	23213	18902	14225	13040	14573	19383	34688	40574	36622	20470	16167		6551	7879	11880	17766	31839	38098	44136	63958	36044	41767	54972	61361	72428	82565	72268	75476	73670	
8440	"Bookbinding machinery, incl. book-sewing machines (excluding machinery of heading 8441, general-purpose ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		814	1393	614	1093	1474	2433	1021	1206	1299	617	430	1952	1043	872	1421	705	739		5729	8826	14745	24078	28206	60756	54297	18362	9756	28359	34843	16899	17338	12614	12961	11515	9037	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1563	54	463	452	1722	2220	1137	1004	851	1005	4362	1443	1942	784	888	478	574		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
8451	"Machinery (excluding of heading 8450) for washing, cleaning, wringing, drying, ironing, pressing ..."	0	1	0	0	0	0	0	0	0	0	0	52	0	0	11	0	0		6380	13246	7661	9704	12874	15077	18036	17635	9595	11117	8183	12485	7619	9452	10489	10607	10302		97161	254608	302325	272387	298842	218338	199338	149816	82678	174191	211253	262530	249128	241504	196181	197288	202100	
8213	"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ..."	0	0	0	0	1	3	4	0	0	0	0	0	0	0	0	0	0		26	98	44	110	173	93	100	318	317	279	403	342	377	314	297	340	219		2419	3072	4520	5584	5360	5504	5739	7211	5447	6976	8521	7776	9842	9197	8356	6397	7137	
8464	"Machine tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials ..."	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1466	1164	3366	2788	5169	2812	2089	5015	9402	16299	41693	5079	14103	4499	4066	2078	13995		33876	19132	26953	51101	49467	65819	87305	72895	33531	39135	104178	68208	105411	89469	61618	67007	58359	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		101511	100349	99698	80100	106931	107711	139521	167404	148227	171564	203658	185684	208938	206639	180894	177110	176673		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	20	0	30	20	15	2	144	49	317	557	2451	20271	19222	7778	5495		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		428	564	851	1358	1365	1033	2663	2752	2704	1912	837	2056	4539	3905	6066	7326	4652		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1432	1566	4821	7121	11118	31704	34840	28265	28712	33470	34998	36996	36118	40301	37295	36910	33278		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	0	0	50	111	68	179	122	121	424	433	94	132	0	0	0		174889	175973	212889	304979	328968	286190	334319	361484	299055	426635	481721	390969	353032	418278	256533	211551	232948		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3591	4118	4413	6347	6020	5593	5361	3311	2251	5338	7755	5319	6816	6867	4091	4212	5951		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0		19	19	38	95	44	28	114	73	36	137	260	450	566	361	227	321	343		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	26	4	89	29	233	120	658	3443	1035	3866	1406	1448	1510	1731	2023	1160		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2180	2150	1970	2154	2190	2202	2572	2828	2794	3665	4467	4451	5346	4549	3595	2963	2949		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		41239	42368	39926	36648	33447	31665	24391	23050	22524	26784	27267	26456	28753	34070	32556	34012	32467		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		117	773	396	67	311	118	16	3	7	7	97	70	98	78	120	124	79		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1001	"Wheat and meslin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9	196	13	1192	270	647	920	1143	800	2525	3419	2034	1372	1386	1126	1330	2919		49621	148010	277543	221868	25031	52624	570390	1483190	901858	655044	1623089	1125977	1289235	1545853	1103420	892409	1043332	
1108	"Starches; inulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4495	4531	3987	4773	6150	6942	8517	10632	8986	10621	14523	13359	11766	12118	13112	12067	12500		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	58	0	0	0	2	5	2	2	0	0	1	0		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		57	36	49	357	193	76	459	86	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1515	"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ..."	0	0	0	0	0	0	0	0	22	163	252	149	74	0	0	0	0		8316	9237	11785	16002	16329	17051	20010	22312	14940	18994	17033	20871	23200	29806	72753	63434	48474		40630	65725	75264	75171	95586	93726	107832	150775	80218	68277	69777	53437	57063	36601	41644	60217	46003	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		852	579	545	760	580	684	428	2180	3173	2992	2948	2507	3995	3595	2546	3386	3523		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0		139119	118864	153299	151417	165112	174321	180259	213266	189966	197844	193124	251776	256421	278852	259688	242366	147911		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1730	498	193	141	702	206	493	235	0	0	0	82	0	0	0	0	0		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	124	122	553	347	1742	3151	10722	4772	10713	12842	9075	7476	5005	2207	2338	675		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1748	0	0	0	0	14	0	0	35	45	9406	17380	6312	7153	1614	0	0		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	0	0	0	6132	0	0	0	0	0	0	0	0	0	0	0	0	0		3512987	3132626	4109083	5317672	6725532	7672209	9516109	14280153	10126933	13371869	18210235	19790436	20467712	20876808	12713197	8292049	10014730		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3239	1801	4271	5854	18634	43621	35315	42241	149525	287064	205118	419324	343555	353616	319943	167342	311922		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		52	267	275	429	553	572	1445	1038	633	2202	1843	2559	2030	1386	1289	2202	2037		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2823	"Titanium oxides"	0	0	0	0	0	0	23	0	0	69	147	44	0	0	0	0	0		2614	4676	6913	21230	15156	15263	14235	14926	11345	10577	8140	9796	7137	3676	604	1255	1588		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		115	166	39	21	542	159	232	285	239	1650	9229	980	17341	102538	127389	159613	253915		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	20	25	0	0	0	9	5	0	0	26	0	114	1	206	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		74	255	195	411	206	544	2528	1512	936	289	450	369	342	223	258	555	1115		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
2925	"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		249	73	4	7	15	173	180	373	30	0	87	42	54	24	14	39	16		6017	9508	14912	17313	12113	9976	11153	13493	11296	12518	16902	29926	42603	39683	23779	21763	22377	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		68	36	76	6	0	10	7	6	5	23	0	0	0	0	0	2	6		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
