Product code	Product label	Turkey's imports from United Arab Emirates-Value in 2001	Turkey's imports from United Arab Emirates-Value in 2002	Turkey's imports from United Arab Emirates-Value in 2003	Turkey's imports from United Arab Emirates-Value in 2004	Turkey's imports from United Arab Emirates-Value in 2005	Turkey's imports from United Arab Emirates-Value in 2006	Turkey's imports from United Arab Emirates-Value in 2007	Turkey's imports from United Arab Emirates-Value in 2008	Turkey's imports from United Arab Emirates-Value in 2009	Turkey's imports from United Arab Emirates-Value in 2010	Turkey's imports from United Arab Emirates-Value in 2011	Turkey's imports from United Arab Emirates-Value in 2012	Turkey's imports from United Arab Emirates-Value in 2013	Turkey's imports from United Arab Emirates-Value in 2014	Turkey's imports from United Arab Emirates-Value in 2015	Turkey's imports from United Arab Emirates-Value in 2016	Turkey's imports from United Arab Emirates-Value in 2017	United Arab Emirates's exports to world- 	United Arab Emirates's exports to world-Value in 2001	United Arab Emirates's exports to world-Value in 2002	United Arab Emirates's exports to world-Value in 2003	United Arab Emirates's exports to world-Value in 2004	United Arab Emirates's exports to world-Value in 2005	United Arab Emirates's exports to world-Value in 2006	United Arab Emirates's exports to world-Value in 2007	United Arab Emirates's exports to world-Value in 2008	United Arab Emirates's exports to world-Value in 2009	United Arab Emirates's exports to world-Value in 2010	United Arab Emirates's exports to world-Value in 2011	United Arab Emirates's exports to world-Value in 2012	United Arab Emirates's exports to world-Value in 2013	United Arab Emirates's exports to world-Value in 2014	United Arab Emirates's exports to world-Value in 2015	United Arab Emirates's exports to world-Value in 2016	United Arab Emirates's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
8477	"Machinery for working rubber or plastics or for the manufacture of products from these materials, ..."	0	0	0	1	0	0	37	184	0	0	0	0	0	1	58	0	0						4250		9645	9417				39899	17692	19006	21269	9372	13791		141275	167977	257641	408299	421706	460149	486685	507079	315484	451863	691676	596366	526824	641009	576890	580682	583247	
8514	"Industrial or laboratory electric furnaces and ovens, incl. those functioning by induction ..."	1	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0						2060		2327	2181				4992	3762	4767	4061	2138	2767		25546	12582	36778	32472	45802	56667	59728	68244	95415	67387	117821	76897	69665	62859	75110	61219	60283	
8530	"Electrical signalling, safety or traffic control equipment for railways, tramways, roads, inland ..."	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0						5087		22134	16822				22218	27446	26152	32209	21323	3240		23938	27251	6780	8283	20240	19970	26318	41944	59008	46851	85920	39150	91158	62751	50480	38317	58466	
8532	"Electrical capacitors, fixed, variable or adjustable "pre-set"; parts thereof"	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0						4440		5763	6491				14564	11366	18064	5986	6553	8708		40055	56633	67807	93803	83319	87291	88858	85197	65655	82603	105384	94020	94797	93298	84715	85394	98110	
8539	"Electric filament or discharge lamps, incl. sealed beam lamp units and ultraviolet or infra-red ..."	1	304	404	324	37	1339	1014	268	18	231	472	116	109	14	0	1	0						40625		48932	45675				116603	114786	82358	48955	35538	10054		47601	65273	87181	116470	130145	153674	193815	229858	188506	234065	262975	227644	246969	203900	168973	146206	175916	
8548	"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						126604		12436	10811				28056	31466	24951	18441	20514	95387		2079	526	986	2177	2752	3000	4414	3570	3169	4275	2627	1768	1816	1329	3654	9475	7728	
8713	"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						139		761	437				672	1361	1424	605	205	68		981	1206	1044	1697	3428	4471	7167	9084	4426	7157	9393	8441	13423	13520	13123	14742	17029	
8715	"Baby carriages and parts thereof, n.e.s."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0						4109		6329	5380				23615	21463	17491	12729	15113	142		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
9001	"Optical fibres and optical fibre bundles; optical fibre cables (excluding made up of individually ..."	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	7	0						5825		9449	9159				33833	46821	45282	9452	11818	6400		30904	27323	25708	30831	40075	47124	58202	80132	70313	104503	122209	113700	137283	186882	169667	165564	175584	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						936		1486	2232				1110	1597	1351	610	1597	62		2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
9015	"Surveying, incl. photogrammetrical surveying, hydrographic, oceanographic, hydrological, meteorological ..."	0	1	0	26	0	1	0	0	124	284	17	1	22	0	315	0	0						29427		23921	17729				423302	341264	420494	68670	58654	42051		12234	23623	16972	21316	46124	34709	48906	47202	59403	58677	62740	69588	75274	79863	73106	51377	67053	
9021	"Orthopaedic appliances, incl. crutches, surgical belts and trusses; splints and other fracture ..."	0	0	0	0	0	4	0	0	0	2	0	0	0	0	8	41	0						10426		5776	6563				31710	49545	50620	8500	6016	14056		108245	106724	109311	147211	207061	261793	286927	353159	319143	359750	401844	417004	483839	493186	424268	442956	409891	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0						2796		15991	19454				6867	9362	10766	30571	23058	7120		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0						1308		4844	4694				7098	11707	15791	8941	7282	827		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0						742		1121	1570				7249	5361	6267	6143	3784	1025		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0		0	0				0	11	0	2	7			46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0						18		2	0				0	0	21	81	60	25		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	0	0	1	0	0	0	0	2	7	5564	0	0	0	0						93		937	1566				7280	8690	19037	42981	155295	10621		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						214		434	768				17022	17473	14584	7137	18732	72568		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7209	"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled "cold-reduced", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						1144		1077	1449				5831	12240	11486	5099	3038	5559		95041	168187	271406	579741	511156	616180	629852	721087	401099	502307	568766	491248	499944	494521	365284	354293	539824	
7211	"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ..."	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0						897		1009	775				3494	4891	3882	1369	2712	2003		28344	46289	88047	119209	139195	142037	171599	280403	155090	230148	256706	251008	167331	69246	53891	50631	64050	
7302	"Railway or tramway track construction material of iron or steel, the following : rails, check-rails ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						2005		1861	3351				6563	8318	14446	11220	6191	8950		4882	5838	15433	22721	39753	27483	47878	103737	84501	112720	92468	79346	69222	36795	31374	53630	54681	
7317	"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ..."	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0						3167		3960	30270				42683	39994	17867	7129	5300	5921		1120	1752	2709	4416	3882	3803	10891	9416	5151	6204	9165	9217	10210	11441	10876	9933	11061	
7319	"Sewing needles, knitting needles, bodkins, crochet hoods, embroidery stilettos and similar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						778		738	865				700	1059	676	403	239	748		1051	1137	1350	1417	1897	2010	2330	3039	1944	2631	2341	2575	2640	2302	2202	1954	2438	
7320	"Springs and leaves for springs, of iron or steel (excluding clock and watch springs, springs ..."	0	0	1	1	0	8	9	1	1	0	0	5	13	3	1	11	0						1317		2145	2478				17762	16910	20442	8235	2734	7570		12974	18755	24526	46143	50468	56852	79865	82444	59133	70218	87420	75457	85232	75316	79498	85614	83696	
7412	"Copper tube or pipe fittings "e.g., couplings, elbows, sleeves""	0	0	0	0	0	0	0	1	1	0	0	5	0	37	0	0	0						1132		1622	2958				10936	5938	10707	2754	2364	4875		2187	3036	4121	7897	10798	18827	28548	30023	11745	18893	28114	25861	25940	27033	26872	24322	23794	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						99		111	0				0	0	0	0	0			248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0		48	546				2	18	0	0	0			0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7507	"Tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves", of nickel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						49		639	3287				19971	17199	7444	1660	1036	13313		875	848	861	1100	891	1113	1666	1651	808	933	1702	786	722	1479	4389	1514	1615	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						3105		5250	4349				15568	15326	18072	13918	17334	22409		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8204	"Hand-operated spanners and wrenches, incl. torque meter wrenches (excluding tap wrenches), ..."	0	0	6	0	0	2	0	0	0	0	1	0	12	27	0	0	0						6674		5929	4718				13830	12807	17065	9089	8749	1868		3286	4764	6251	9907	12816	13956	22473	26706	17659	31529	47533	42485	52547	48717	39274	26214	24417	
8211	"Knives with cutting blades, serrated or not, incl. pruning knives, and blades therefor, of ..."	0	7	0	0	0	0	15	2	0	0	6	29	0	0	0	0	0						5297		6198	4815				8766	11525	10673	2530	2270	648		2054	2499	5146	7931	9212	10173	12921	15229	15366	25526	38729	31220	40384	38955	25891	16029	18214	
8213	"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						1558		1551	814				1834	2162	2697	655	468	245		2419	3072	4520	5584	5360	5504	5739	7211	5447	6976	8521	7776	9842	9197	8356	6397	7137	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0						142		10	0				51	20	338	15	21	290		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
8451	"Machinery (excluding of heading 8450) for washing, cleaning, wringing, drying, ironing, pressing ..."	0	0	22	0	0	0	0	1	0	0	1	2	0	4	0	7	0						2114		5281	6535				7880	9375	10817	6675	4517	7435		97161	254608	302325	272387	298842	218338	199338	149816	82678	174191	211253	262530	249128	241504	196181	197288	202100	
8457	"Machining centres, unit construction machines "single station" and multi-station transfer machines ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						4154		1066	795				2518	1159	4839	1555	1742	365		38335	80144	86611	130933	181625	176648	213231	212256	66239	138248	231656	263682	254217	272875	268031	265425	258399	
8464	"Machine tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials ..."	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0						9746		1022	1920				2793	3831	3762	1126	1443	8329		33876	19132	26953	51101	49467	65819	87305	72895	33531	39135	104178	68208	105411	89469	61618	67007	58359	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						379		301	144				255	984	1115	777	418	379		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						508		1871	862				1580	7232	4926	2291	1880	4474		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						3155		453	297				730	1601	909	602	421	370		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	8	17	0	20	12	0	0	0	0	0	0	0	0						3873		2972	1872				977	13486	15804	2554	3149	12133		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						14		105	1				66	1149	620	1	1	12		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						122		434	253				197	370	724	1579	591	1		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						27		470	68				282	108	16	80	144	113		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0						1152		2006	1923				9072	9873	6478	6698	3851	1458		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						367		598	493				1862	3082	1760	2012	3150	630		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0		33	320				61	8	2	68	1	163		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1001	"Wheat and meslin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						505		1176	11146				9151	40863	39114	13012	4777	44337		49621	148010	277543	221868	25031	52624	570390	1483190	901858	655044	1623089	1125977	1289235	1545853	1103420	892409	1043332	
1108	"Starches; inulin"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						792		516	1511				1107	1270	2215	1216	855	770		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						73		62	1661				21	48	12	1	1	2		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0		0	0				0	0	0	0	0			0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0						10070		12804	19040				13773	16916	8558	5488	5965	31644		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
1806	"Chocolate and other food preparations containing cocoa"	0	26	26	0	0	2	0	0	0	0	35	59	18	22	29	0	0						100567		147969	155394				396953	409108	413045	373875	222707	295188		17230	20274	24060	36137	41544	58484	64349	80343	77269	89227	91693	100653	111379	98108	90108	92729	113354	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0						7201		4773	4699				4496	4397	6483	5057	886	7168		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0						1865		3728	6059				59326	165479	168047	7920	5207	279361		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						126		128	29				181	54	66	56	52	71		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2823	"Titanium oxides"	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0						1409		473	338				2144	6200	1314	181	231	288		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						9		15	0				588	345	139	1158	1478	18797		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						39		0	1				0	35	55	0	148			0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						95		673	65				3270	3564	3191	1053	1639	81		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
2925	"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						159		582	330				39	80	152	24	60	153		6017	9508	14912	17313	12113	9976	11153	13493	11296	12518	16902	29926	42603	39683	23779	21763	22377	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0		62	0				0	135	124	4	0			2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
2931	"Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ..."	0	27	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0						68		303	602				346	3878	11155	1001	661	8745		25909	20619	26033	19568	19182	19862	24586	43433	31750	39966	48371	44431	51621	69048	50210	44149	64134	
2933	"Heterocyclic compounds with nitrogen hetero-atom[s] only"	0	0	0	9	0	4	15	0	13	22	0	0	0	0	0	0	0						691		1736	1907				139608	92996	76270	35223	27970	12084		242379	273629	323093	424252	460103	481455	474339	522469	401825	433533	417433	325228	355818	425690	382779	408933	452717	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						597		158	24				151	38	152	76	22	254		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0		12	0				0	0	0	0	6033	3		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						25		5	0				11	1	19	7207	3339	6379		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						32		0	2				425	175	195	111	0	2		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
3403	"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ..."	0	0	1	0	0	0	158	0	0	0	10	0	0	25	0	0	0						4090		9046	8738				15667	23607	24479	13379	11212	27836		35496	46553	61886	78975	86295	108534	151624	182741	123649	137549	167671	144388	169061	162748	141443	136005	150734	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0		2	43				516	845	172	162	206	1068		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3811	"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive ..."	0	0	0	0	0	0	0	0	1	0	1	0	0	138	222	0	0						13769		11130	27290				72326	99221	168057	59332	43486	35829		39344	50916	61167	80303	86603	121968	135085	163383	148316	170550	187941	188169	201946	207334	187461	176928	203741	
3813	"Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0						550		509	550				2032	3421	1227	569	514	892		1546	1731	1590	3276	3756	4834	4455	5138	4325	3378	5390	6980	6744	6989	6256	6008	4735	
